k-means,MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats
0.0,0.03,0.02,0.1,2,12,1,100
0.01,0.02,0.01,0.14,2,12,2,100
0.11,0.02,0.06,0.25,2,12,4,100
0.36,0.01,0.07,0.48,2,12,8,100
0.64,0.0,0.11,0.76,2,12,16,100
0.84,0.0,0.45,0.92,2,12,32,100
0.97,0.0,0.42,1.0,2,12,64,100
0.0,0.07,0.17,0.12,2,24,1,100
0.01,0.05,0.19,0.21,2,24,2,100
0.09,0.06,0.35,0.34,2,24,4,100
0.28,0.02,0.69,0.56,2,24,8,100
0.68,0.0,0.95,0.9,2,24,16,100
0.9,0.0,1.0,0.97,2,24,32,100
0.97,0.0,1.0,1.0,2,24,64,100
0.0,0.0,0.12,0.09,2,36,1,100
0.0,0.02,0.31,0.19,2,36,2,100
0.0,0.0,0.52,0.35,2,36,4,100
0.17,0.0,0.89,0.62,2,36,8,100
0.58,0.0,0.99,0.91,2,36,16,100
0.58,0.0,1.0,0.98,2,36,32,100
0.86,0.0,1.0,1.0,2,36,64,100
0.02,0.08,0.09,0.2,3,12,1,100
0.04,0.1,0.16,0.29,3,12,2,100
0.15,0.1,0.22,0.53,3,12,4,100
0.5,0.04,0.36,0.84,3,12,8,100
0.6,0.0,0.53,0.99,3,12,16,100
0.78,0.0,0.16,1.0,3,12,32,100
1.0,0.0,0.42,1.0,3,12,64,100
0.0,0.05,0.2,0.04,3,24,1,100
0.0,0.07,0.24,0.12,3,24,2,100
0.02,0.05,0.25,0.3,3,24,4,100
0.06,0.02,0.6,0.6,3,24,8,100
0.32,0.0,0.88,0.93,3,24,16,100
0.88,0.0,1.0,1.0,3,24,32,100
1.0,0.0,1.0,1.0,3,24,64,100
0.0,0.04,0.11,0.02,3,36,1,100
0.0,0.03,0.15,0.14,3,36,2,100
0.02,0.03,0.41,0.26,3,36,4,100
0.12,0.0,0.82,0.63,3,36,8,100
0.5,0.0,1.0,0.96,3,36,16,100
0.9,0.0,1.0,1.0,3,36,32,100
1.0,0.0,1.0,1.0,3,36,64,100
0.0,0.05,0.17,0.1,4,12,1,100
0.0,0.05,0.19,0.25,4,12,2,100
0.0,0.02,0.16,0.49,4,12,4,100
0.09,0.0,0.25,0.86,4,12,8,100
0.55,0.0,0.37,0.99,4,12,16,100
0.95,0.0,0.46,1.0,4,12,32,100
1.0,0.0,0.3,1.0,4,12,64,100
0.0,0.03,0.15,0.1,4,24,1,100
0.0,0.04,0.11,0.21,4,24,2,100
0.01,0.07,0.18,0.59,4,24,4,100
0.12,0.05,0.25,0.86,4,24,8,100
0.45,0.02,0.76,0.99,4,24,16,100
0.86,0.0,1.0,1.0,4,24,32,100
1.0,0.0,1.0,1.0,4,24,64,100
0.0,0.06,0.04,0.09,4,36,1,100
0.0,0.05,0.07,0.22,4,36,2,100
0.01,0.07,0.49,0.59,4,36,4,100
0.09,0.04,0.91,0.9,4,36,8,100
0.66,0.0,1.0,1.0,4,36,16,100
0.91,0.0,1.0,1.0,4,36,32,100
1.0,0.0,1.0,1.0,4,36,64,100
0.0,0.06,0.04,0.1,2,12,1,200
0.03,0.03,0.03,0.15,2,12,2,200
0.22,0.02,0.09,0.4,2,12,4,200
0.57,0.01,0.09,0.74,2,12,8,200
0.8,0.0,0.1,0.94,2,12,16,200
0.85,0.0,0.06,0.99,2,12,32,200
1.0,0.0,0.32,1.0,2,12,64,200
0.01,0.06,0.06,0.13,2,24,1,200
0.02,0.03,0.08,0.23,2,24,2,200
0.11,0.02,0.19,0.38,2,24,4,200
0.47,0.0,0.43,0.78,2,24,8,200
0.69,0.0,0.82,1.0,2,24,16,200
0.76,0.0,1.0,1.0,2,24,32,200
0.96,0.0,0.98,1.0,2,24,64,200
0.0,0.06,0.04,0.14,2,36,1,200
0.0,0.05,0.15,0.21,2,36,2,200
0.04,0.04,0.32,0.47,2,36,4,200
0.32,0.0,0.79,0.8,2,36,8,200
0.61,0.0,0.95,0.97,2,36,16,200
0.6,0.0,1.0,1.0,2,36,32,200
0.79,0.0,1.0,1.0,2,36,64,200
0.0,0.02,0.14,0.14,3,12,1,200
0.0,0.01,0.18,0.29,3,12,2,200
0.08,0.01,0.23,0.62,3,12,4,200
0.44,0.0,0.42,0.96,3,12,8,200
0.69,0.0,0.72,1.0,3,12,16,200
0.86,0.0,0.81,1.0,3,12,32,200
1.0,0.0,0.28,1.0,3,12,64,200
0.0,0.09,0.05,0.1,3,24,1,200
0.0,0.1,0.09,0.25,3,24,2,200
0.06,0.07,0.27,0.61,3,24,4,200
0.32,0.03,0.56,0.93,3,24,8,200
0.63,0.0,0.62,1.0,3,24,16,200
0.9,0.0,0.69,1.0,3,24,32,200
1.0,0.0,0.92,1.0,3,24,64,200
0.0,0.08,0.15,0.07,3,36,1,200
0.0,0.08,0.22,0.23,3,36,2,200
0.06,0.05,0.27,0.47,3,36,4,200
0.2,0.01,0.81,0.92,3,36,8,200
0.67,0.0,1.0,1.0,3,36,16,200
0.94,0.0,1.0,1.0,3,36,32,200
1.0,0.0,1.0,1.0,3,36,64,200
0.0,0.07,0.06,0.15,4,12,1,200
0.01,0.05,0.06,0.37,4,12,2,200
0.08,0.03,0.23,0.8,4,12,4,200
0.31,0.0,0.52,0.98,4,12,8,200
0.44,0.0,0.82,1.0,4,12,16,200
0.95,0.0,0.68,1.0,4,12,32,200
1.0,0.0,0.42,1.0,4,12,64,200
0.0,0.02,0.13,0.14,4,24,1,200
0.03,0.07,0.15,0.5,4,24,2,200
0.09,0.03,0.32,0.84,4,24,4,200
0.37,0.0,0.39,0.99,4,24,8,200
0.67,0.0,0.68,1.0,4,24,16,200
0.98,0.0,0.93,1.0,4,24,32,200
1.0,0.0,0.99,1.0,4,24,64,200
0.0,0.01,0.09,0.1,4,36,1,200
0.0,0.01,0.22,0.31,4,36,2,200
0.03,0.0,0.6,0.83,4,36,4,200
0.35,0.0,0.91,0.99,4,36,8,200
0.6,0.0,1.0,1.0,4,36,16,200
0.97,0.0,1.0,1.0,4,36,32,200
1.0,0.0,1.0,1.0,4,36,64,200
0.02,0.09,0.09,0.21,2,12,1,500
0.11,0.07,0.05,0.41,2,12,2,500
0.55,0.02,0.2,0.76,2,12,4,500
0.89,0.0,0.37,0.96,2,12,8,500
0.94,0.0,0.59,1.0,2,12,16,500
0.94,0.0,0.35,1.0,2,12,32,500
0.98,0.0,0.48,1.0,2,12,64,500
0.01,0.02,0.08,0.25,2,24,1,500
0.07,0.02,0.19,0.47,2,24,2,500
0.37,0.01,0.32,0.79,2,24,4,500
0.79,0.0,0.51,1.0,2,24,8,500
0.88,0.0,0.78,1.0,2,24,16,500
0.93,0.0,0.97,1.0,2,24,32,500
1.0,0.0,0.95,1.0,2,24,64,500
0.0,0.04,0.07,0.2,2,36,1,500
0.02,0.03,0.13,0.44,2,36,2,500
0.15,0.01,0.28,0.73,2,36,4,500
0.63,0.0,0.77,1.0,2,36,8,500
0.69,0.0,1.0,1.0,2,36,16,500
0.72,0.0,0.99,1.0,2,36,32,500
0.94,0.0,0.97,1.0,2,36,64,500
0.03,0.0,0.24,0.23,3,12,1,500
0.09,0.0,0.16,0.55,3,12,2,500
0.33,0.0,0.27,0.96,3,12,4,500
0.52,0.0,0.51,1.0,3,12,8,500
0.72,0.0,0.64,1.0,3,12,16,500
0.96,0.0,0.88,1.0,3,12,32,500
1.0,0.0,0.23,1.0,3,12,64,500
0.0,0.07,0.07,0.1,3,24,1,500
0.02,0.06,0.09,0.39,3,24,2,500
0.13,0.03,0.13,0.89,3,24,4,500
0.62,0.0,0.26,1.0,3,24,8,500
0.88,0.0,0.84,1.0,3,24,16,500
0.95,0.0,0.95,1.0,3,24,32,500
1.0,0.0,1.0,1.0,3,24,64,500
0.0,0.01,0.24,0.18,3,36,1,500
0.05,0.01,0.42,0.49,3,36,2,500
0.34,0.0,0.76,0.88,3,36,4,500
0.49,0.0,0.96,1.0,3,36,8,500
0.68,0.0,0.99,1.0,3,36,16,500
0.95,0.0,1.0,1.0,3,36,32,500
1.0,0.0,1.0,1.0,3,36,64,500
0.02,0.03,0.1,0.22,4,12,1,500
0.05,0.03,0.15,0.64,4,12,2,500
0.28,0.05,0.39,1.0,4,12,4,500
0.66,0.01,0.67,1.0,4,12,8,500
0.69,0.0,0.87,1.0,4,12,16,500
0.98,0.0,0.96,1.0,4,12,32,500
1.0,0.0,0.97,1.0,4,12,64,500
0.0,0.04,0.03,0.3,4,24,1,500
0.04,0.02,0.07,0.76,4,24,2,500
0.2,0.0,0.22,1.0,4,24,4,500
0.67,0.0,0.32,1.0,4,24,8,500
0.84,0.0,0.22,1.0,4,24,16,500
1.0,0.0,0.63,1.0,4,24,32,500
1.0,0.0,0.91,1.0,4,24,64,500
0.0,0.05,0.17,0.3,4,36,1,500
0.02,0.03,0.24,0.73,4,36,2,500
0.18,0.01,0.38,1.0,4,36,4,500
0.43,0.0,0.83,1.0,4,36,8,500
0.62,0.0,0.98,1.0,4,36,16,500
0.97,0.0,1.0,1.0,4,36,32,500
1.0,0.0,1.0,1.0,4,36,64,500
0.1,0.02,0.0,0.2,2,12,1,1000
0.29,0.01,0.05,0.55,2,12,2,1000
0.62,0.0,0.25,0.86,2,12,4,1000
0.84,0.0,0.51,1.0,2,12,8,1000
0.93,0.0,0.73,1.0,2,12,16,1000
0.99,0.0,0.37,1.0,2,12,32,1000
1.0,0.0,0.4,1.0,2,12,64,1000
0.06,0.0,0.06,0.36,2,24,1,1000
0.28,0.0,0.11,0.68,2,24,2,1000
0.63,0.0,0.29,0.97,2,24,4,1000
0.85,0.0,0.5,1.0,2,24,8,1000
0.97,0.0,0.76,1.0,2,24,16,1000
0.98,0.0,0.79,1.0,2,24,32,1000
1.0,0.0,0.98,1.0,2,24,64,1000
0.0,0.02,0.18,0.4,2,36,1,1000
0.1,0.01,0.37,0.63,2,36,2,1000
0.47,0.0,0.72,0.93,2,36,4,1000
0.55,0.0,0.99,1.0,2,36,8,1000
0.75,0.0,0.99,1.0,2,36,16,1000
0.92,0.0,0.99,1.0,2,36,32,1000
1.0,0.0,1.0,1.0,2,36,64,1000
0.02,0.16,0.05,0.38,3,12,1,1000
0.26,0.08,0.1,0.85,3,12,2,1000
0.74,0.01,0.23,1.0,3,12,4,1000
0.81,0.0,0.47,1.0,3,12,8,1000
0.92,0.0,0.75,1.0,3,12,16,1000
1.0,0.0,0.93,1.0,3,12,32,1000
1.0,0.0,0.84,1.0,3,12,64,1000
0.04,0.02,0.14,0.35,3,24,1,1000
0.21,0.02,0.11,0.84,3,24,2,1000
0.65,0.0,0.18,1.0,3,24,4,1000
0.71,0.0,0.3,1.0,3,24,8,1000
0.84,0.0,0.42,1.0,3,24,16,1000
0.99,0.0,0.96,1.0,3,24,32,1000
1.0,0.0,0.96,1.0,3,24,64,1000
0.0,0.0,0.15,0.21,3,36,1,1000
0.03,0.0,0.33,0.75,3,36,2,1000
0.49,0.0,0.68,1.0,3,36,4,1000
0.72,0.0,0.94,1.0,3,36,8,1000
0.87,0.0,1.0,1.0,3,36,16,1000
0.98,0.0,0.98,1.0,3,36,32,1000
1.0,0.0,1.0,1.0,3,36,64,1000
0.02,0.18,0.04,0.54,4,12,1,1000
0.06,0.7,0.09,0.96,4,12,2,1000
0.26,0.97,0.25,1.0,4,12,4,1000
0.59,1.0,0.55,1.0,4,12,8,1000
0.81,1.0,0.91,1.0,4,12,16,1000
1.0,1.0,1.0,1.0,4,12,32,1000
1.0,1.0,0.93,1.0,4,12,64,1000
0.0,0.02,0.14,0.68,4,24,1,1000
0.04,0.01,0.26,0.98,4,24,2,1000
0.35,0.0,0.41,1.0,4,24,4,1000
0.68,0.0,0.75,1.0,4,24,8,1000
0.9,0.0,0.89,1.0,4,24,16,1000
1.0,0.0,0.4,1.0,4,24,32,1000
1.0,0.0,0.94,1.0,4,24,64,1000
0.0,0.05,0.13,0.54,4,36,1,1000
0.02,0.01,0.22,0.96,4,36,2,1000
0.25,0.0,0.48,1.0,4,36,4,1000
0.46,0.0,0.84,1.0,4,36,8,1000
0.96,0.0,0.94,1.0,4,36,16,1000
1.0,0.0,1.0,1.0,4,36,32,1000
1.0,0.0,1.0,1.0,4,36,64,1000
0.19,0.02,0.04,0.48,2,12,1,2500
0.78,0.0,0.06,0.84,2,12,2,2500
0.96,0.0,0.54,1.0,2,12,4,2500
0.99,0.0,0.77,1.0,2,12,8,2500
1.0,0.0,0.96,1.0,2,12,16,2500
1.0,0.0,0.99,1.0,2,12,32,2500
1.0,0.0,0.57,1.0,2,12,64,2500
0.15,0.29,0.12,0.59,2,24,1,2500
0.54,0.89,0.13,0.96,2,24,2,2500
0.84,1.0,0.21,1.0,2,24,4,2500
0.88,1.0,0.66,1.0,2,24,8,2500
0.98,1.0,0.8,1.0,2,24,16,2500
1.0,1.0,0.84,1.0,2,24,32,2500
1.0,1.0,0.85,1.0,2,24,64,2500
0.01,0.03,0.14,0.53,2,36,1,2500
0.24,0.01,0.33,0.92,2,36,2,2500
0.75,0.0,0.58,1.0,2,36,4,2500
0.87,0.0,0.85,1.0,2,36,8,2500
0.92,0.0,0.94,1.0,2,36,16,2500
0.97,0.0,1.0,1.0,2,36,32,2500
1.0,0.0,0.99,1.0,2,36,64,2500
0.13,0.03,0.18,0.74,3,12,1,2500
0.46,0.01,0.32,1.0,3,12,2,2500
0.63,0.0,0.51,1.0,3,12,4,2500
0.75,0.0,0.68,1.0,3,12,8,2500
0.91,0.0,0.95,1.0,3,12,16,2500
0.99,0.0,0.93,1.0,3,12,32,2500
1.0,0.0,0.99,1.0,3,12,64,2500
0.0,0.01,0.06,0.61,3,24,1,2500
0.29,0.0,0.18,0.98,3,24,2,2500
0.77,0.0,0.19,1.0,3,24,4,2500
0.83,0.0,0.18,1.0,3,24,8,2500
0.93,0.0,0.43,1.0,3,24,16,2500
1.0,0.0,0.25,1.0,3,24,32,2500
1.0,0.0,0.9,1.0,3,24,64,2500
0.02,0.03,0.22,0.66,3,36,1,2500
0.48,0.01,0.43,0.99,3,36,2,2500
0.72,0.0,0.71,1.0,3,36,4,2500
0.77,0.0,0.96,1.0,3,36,8,2500
0.95,0.0,0.97,1.0,3,36,16,2500
0.99,0.0,1.0,1.0,3,36,32,2500
1.0,0.0,1.0,1.0,3,36,64,2500
0.13,0.18,0.04,0.83,4,12,1,2500
0.48,0.06,0.19,1.0,4,12,2,2500
0.65,0.0,0.34,1.0,4,12,4,2500
0.78,0.0,0.62,1.0,4,12,8,2500
0.88,0.0,1.0,1.0,4,12,16,2500
1.0,0.0,1.0,1.0,4,12,32,2500
1.0,0.0,1.0,1.0,4,12,64,2500
0.03,0.05,0.15,0.92,4,24,1,2500
0.47,0.0,0.35,1.0,4,24,2,2500
0.8,0.0,0.62,1.0,4,24,4,2500
0.92,0.0,0.83,1.0,4,24,8,2500
1.0,0.0,0.97,1.0,4,24,16,2500
1.0,0.0,0.47,1.0,4,24,32,2500
1.0,0.0,0.56,1.0,4,24,64,2500
0.03,0.41,0.15,0.8,4,36,1,2500
0.31,0.99,0.18,1.0,4,36,2,2500
0.61,1.0,0.26,1.0,4,36,4,2500
0.71,1.0,0.48,1.0,4,36,8,2500
0.98,1.0,0.99,1.0,4,36,16,2500
1.0,1.0,0.73,1.0,4,36,32,2500
1.0,1.0,1.0,1.0,4,36,64,2500
0.52,0.05,0.01,0.73,2,12,1,5000
0.95,0.0,0.09,0.98,2,12,2,5000
1.0,0.0,0.55,1.0,2,12,4,5000
1.0,0.0,0.68,1.0,2,12,8,5000
1.0,0.0,0.92,1.0,2,12,16,5000
1.0,0.0,0.87,1.0,2,12,32,5000
1.0,0.0,0.52,1.0,2,12,64,5000
0.18,0.0,0.13,0.84,2,24,1,5000
0.8,0.0,0.1,1.0,2,24,2,5000
0.95,0.0,0.3,1.0,2,24,4,5000
0.98,0.0,0.33,1.0,2,24,8,5000
1.0,0.0,0.92,1.0,2,24,16,5000
1.0,0.0,0.96,1.0,2,24,32,5000
1.0,0.0,0.91,1.0,2,24,64,5000
0.02,0.01,0.19,0.72,2,36,1,5000
0.6,0.0,0.49,0.99,2,36,2,5000
0.82,0.0,0.86,1.0,2,36,4,5000
0.89,0.0,0.98,1.0,2,36,8,5000
0.99,0.0,0.96,1.0,2,36,16,5000
1.0,0.0,0.93,1.0,2,36,32,5000
1.0,0.0,1.0,1.0,2,36,64,5000
0.47,0.08,0.18,0.96,3,12,1,5000
0.87,0.02,0.34,1.0,3,12,2,5000
0.95,0.0,0.45,1.0,3,12,4,5000
0.97,0.0,0.68,1.0,3,12,8,5000
1.0,0.0,0.9,1.0,3,12,16,5000
1.0,0.0,0.98,1.0,3,12,32,5000
1.0,0.0,1.0,1.0,3,12,64,5000
0.08,0.02,0.2,0.95,3,24,1,5000
0.68,0.0,0.29,1.0,3,24,2,5000
0.85,0.0,0.43,1.0,3,24,4,5000
0.98,0.0,0.46,1.0,3,24,8,5000
0.99,0.0,0.61,1.0,3,24,16,5000
1.0,0.0,0.44,1.0,3,24,32,5000
1.0,0.0,0.99,1.0,3,24,64,5000
0.11,0.0,0.4,0.89,3,36,1,5000
0.58,0.0,0.59,1.0,3,36,2,5000
0.75,0.0,0.87,1.0,3,36,4,5000
0.91,0.0,0.99,1.0,3,36,8,5000
0.99,0.0,0.99,1.0,3,36,16,5000
1.0,0.0,1.0,1.0,3,36,32,5000
1.0,0.0,1.0,1.0,3,36,64,5000
0.15,0.01,0.04,1.0,4,12,1,5000
0.44,0.0,0.14,1.0,4,12,2,5000
0.66,0.0,0.4,1.0,4,12,4,5000
0.93,0.0,0.6,1.0,4,12,8,5000
1.0,0.0,0.91,1.0,4,12,16,5000
1.0,0.0,1.0,1.0,4,12,32,5000
1.0,0.0,0.87,1.0,4,12,64,5000
0.24,0.03,0.17,1.0,4,24,1,5000
0.66,0.0,0.31,1.0,4,24,2,5000
0.93,0.0,0.65,1.0,4,24,4,5000
0.99,0.0,0.88,1.0,4,24,8,5000
1.0,0.0,0.98,1.0,4,24,16,5000
1.0,0.0,1.0,1.0,4,24,32,5000
1.0,0.0,0.72,1.0,4,24,64,5000
0.05,0.0,0.08,0.99,4,36,1,5000
0.55,0.0,0.22,1.0,4,36,2,5000
0.88,0.0,0.43,1.0,4,36,4,5000
0.97,0.0,0.55,1.0,4,36,8,5000
1.0,0.0,0.47,1.0,4,36,16,5000
1.0,0.0,0.93,1.0,4,36,32,5000
1.0,0.0,0.99,1.0,4,36,64,5000
