Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers,const,control_barcodes,Metadata_gene_name
AKT1-2,0.06858761521119322,0.1964803519648035,0.23390518091048038,False,False,0.6309601586272988,A549,p>=0.05,,perturbation_control,AKT1
ARID1B-1,0.09709624178397863,0.1060893910608939,0.15375274066796218,False,False,0.8131771341127774,A549,p>=0.05,,perturbation_control,ARID1B
ARID1B-2,0.13184398275816003,0.060493950604939506,0.11202583445359167,False,False,0.9506818124473624,A549,p>=0.05,,perturbation_control,ARID1B
ATF4-1,0.5764792905466279,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,ATF4
ATF4-2,0.8476190476190477,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,ATF4
ATP50-1,0.17700019047229618,0.03899610038996101,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,ATP50
ATP50-2,0.2768382018064114,0.006799320067993201,0.01999800019998,True,True,1.6990134316128815,A549,p<0.05,,perturbation_control,ATP50
AURKB-2,0.04532439035829705,0.4016598340165983,0.4183956604339566,False,False,0.37841282858475966,A549,p>=0.05,,perturbation_control,AURKB
BCL2-1,0.05858222480489614,0.25837416258374163,0.28708240287082404,False,False,0.541993427393141,A549,p>=0.05,,perturbation_control,BCL2
BCL2-2,0.11608637189698373,0.0806919308069193,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,BCL2
BCL2L2-1,0.04148241615209271,0.46635336466353366,0.4710640047106401,False,False,0.32692008012345486,A549,p>=0.05,,perturbation_control,BCL2L2
BCL2L2-2,0.044834656761260326,0.40785921407859216,0.42047341657586823,False,False,0.3762614562260129,A549,p>=0.05,,perturbation_control,BCL2L2
BCL2L2-4,0.09162940279760295,0.11788821117888211,0.161490700245044,False,False,0.7918524823022294,A549,p>=0.05,,perturbation_control,BCL2L2
BRAF-2,0.07625695568917105,0.16148385161483853,0.20618191345422418,False,False,0.6857494342587948,A549,p>=0.05,,perturbation_control,BRAF
BRAF1-1,0.07675911656548612,0.15898410158984103,0.20618191345422418,False,False,0.6857494342587948,A549,p>=0.05,,perturbation_control,BRAF1
BRCA1-1,0.11267951059077874,0.08399160083991601,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,BRCA1
BRCA1-2,0.17457715145989602,0.0392960703929607,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,BRCA1
BRD4-1,0.06798923498432306,0.19918008199180082,0.23432950822564802,False,False,0.6301730189034754,A549,p>=0.05,,perturbation_control,BRD4
BRD4-2,0.5460690151461373,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,BRD4
CCND1-1,0.39659962833414036,0.0012998700129987,0.00541612505416125,True,True,2.266311316681632,A549,p<0.05,,perturbation_control,CCND1
CCND1-2,0.7721783771783772,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,CCND1
CCNE1-1,0.5267837717837718,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,CCNE1
CCNE1-2,0.4527481995129054,0.00039996000399960006,0.002105052652629474,True,True,2.6767370369017294,A549,p<0.05,,perturbation_control,CCNE1
CDK2-1,0.17676920418349132,0.03899610038996101,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,CDK2
CDK2-2,0.6282479775126834,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,CDK2
CDK4-1,0.3022913174551855,0.0037996200379962005,0.012665400126654002,True,True,1.8973810853797148,A549,p<0.05,,perturbation_control,CDK4
CDK4-2,0.16635221803486464,0.0410958904109589,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,CDK4
CDK4-3,0.3785547320087308,0.0012998700129987,0.00541612505416125,True,True,2.266311316681632,A549,p<0.05,,perturbation_control,CDK4
CHEK2-1,0.11279693203535368,0.08389161083891611,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,CHEK2
CHEK2-2,0.05326417485383949,0.30586941305869414,0.32889184199859584,False,False,0.48294689884611913,A549,p>=0.05,,perturbation_control,CHEK2
COX5B-1,0.04333017506033058,0.43295670432956707,0.44179255543833373,False,False,0.35478160661599206,A549,p>=0.05,,perturbation_control,COX5B
COX5B-2,0.13962277920718255,0.0532946705329467,0.1065893410658934,False,False,0.9722862225863093,A549,p>=0.05,,perturbation_control,COX5B
CSNK1A1-1,0.7732255774938702,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,CSNK1A1
CSNK1A1-2,0.31361684986436283,0.0031996800319968005,0.011033379420678623,True,True,1.9572914468559126,A549,p<0.05,,perturbation_control,CSNK1A1
CTNNB1-1,0.2505822634967409,0.012898710128987101,0.0358297503582975,True,True,1.445756217744901,A549,p<0.05,,perturbation_control,CTNNB1
CTNNB1-2,0.06985912863070738,0.18988101189881013,0.23359109872145317,False,False,0.6315437105742312,A549,p>=0.05,,perturbation_control,CTNNB1
DOT1L-1,0.08441546414825755,0.13488651134886512,0.18227906939035826,False,False,0.7392631973359346,A549,p>=0.05,,perturbation_control,DOT1L
DOT1L-2,0.06928826772578349,0.1932806719328067,0.23359109872145317,False,False,0.6315437105742312,A549,p>=0.05,,perturbation_control,DOT1L
EGFR-1,0.11096911860758547,0.08499150084991501,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,EGFR
EGFR-2,0.32960638435722917,0.0025997400259974,0.00928478580713357,True,True,2.032228110648264,A549,p<0.05,,perturbation_control,EGFR
EGLN1-8,0.1297423733154584,0.0633936606339366,0.115261201152612,False,False,0.9383168588893739,A549,p>=0.05,,perturbation_control,EGLN1
EGLN1-9,0.1651510304035878,0.04129587041295871,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,EGLN1
ERBB2-1,0.4610425578189577,0.00039996000399960006,0.002105052652629474,True,True,2.6767370369017294,A549,p<0.05,,perturbation_control,ERBB2
ERBB2-2,0.25128449618813103,0.012698730126987301,0.0358297503582975,True,True,1.445756217744901,A549,p<0.05,,perturbation_control,ERBB2
ERBB3-1,0.12545556176488293,0.0688931106889311,0.12086510647180895,False,False,0.9176990610417283,A549,p>=0.05,,perturbation_control,ERBB3
ERBB3-2,0.09520753438298964,0.11028897110288971,0.15755567300412818,False,False,0.8025659548509289,A549,p>=0.05,,perturbation_control,ERBB3
EZH2-1,0.228364504835647,0.026597340265973404,0.06999300069993,True,False,1.1549453872626059,A549,p<0.05,,perturbation_control,EZH2
EZH2-2,0.14129669993634553,0.0522947705229477,0.1065893410658934,False,False,0.9722862225863093,A549,p>=0.05,,perturbation_control,EZH2
GLS-1,0.12643061795126528,0.0675932406759324,0.12070221549273642,False,False,0.9182847583414272,A549,p>=0.05,,perturbation_control,GLS
GLS-2,0.5838980899275017,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,GLS
GPX4-1,0.0920355654642993,0.11708829117088292,0.161490700245044,False,False,0.7918524823022294,A549,p>=0.05,,perturbation_control,GPX4
GPX4-2,0.1089381906130507,0.0872912708729127,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,GPX4
HIF1a-1,0.15534475039440362,0.04459554044595541,0.0939489384394894,True,False,1.0271081227744894,A549,p<0.05,,perturbation_control,HIF1a
HIF1a-2,0.06297097734769148,0.22927707229277072,0.2605421276054213,False,False,0.5841220446970925,A549,p>=0.05,,perturbation_control,HIF1a
ITGAV-1,1.0,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,ITGAV
ITGAV-2,1.0,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,ITGAV
JAK3-1,0.13337282654222357,0.0585941405859414,0.11055498223762528,False,False,0.9564216808595611,A549,p>=0.05,,perturbation_control,JAK3
JAK3-2,0.06922650612033034,0.19388061193880612,0.23359109872145317,False,False,0.6315437105742312,A549,p>=0.05,,perturbation_control,JAK3
KIF11-1,0.49023696499960695,0.00039996000399960006,0.002105052652629474,True,True,2.6767370369017294,A549,p<0.05,,perturbation_control,KIF11
KIF11-2,0.5393686479212795,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,KIF11
KRAS-1,0.43910076651505964,0.0005999400059994001,0.0028568571714257147,True,True,2.5441114716271382,A549,p<0.05,,perturbation_control,KRAS
KRAS-2A,0.6987248111365759,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,KRAS
KRAS-2B,0.0783934359123402,0.15308469153084692,0.2041129220411292,False,False,0.6901294999703017,A549,p>=0.05,,perturbation_control,KRAS
MAPK1-1,0.05579605764815215,0.28047195280471954,0.3048608182659995,False,False,0.5158983890302378,A549,p>=0.05,,perturbation_control,MAPK1
MAPK1-2,0.19564462123548634,0.0367963203679632,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,MAPK1
MCL1-2,0.046300242943159826,0.38986101389861016,0.410380014630116,False,False,0.38681379737772464,A549,p>=0.05,,perturbation_control,MCL1
MCL1-5,0.05797146955800836,0.26317368263173685,0.28920184904586466,False,False,0.5387989346560383,A549,p>=0.05,,perturbation_control,MCL1
MTOR-1,0.40059798373693667,0.0012998700129987,0.00541612505416125,True,True,2.266311316681632,A549,p<0.05,,perturbation_control,MTOR
MTOR-2,0.3441751832632813,0.0021997800219978004,0.008799120087991202,True,True,2.055560755126694,A549,p<0.05,,perturbation_control,MTOR
MYC-1,1.0,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,MYC
MYC-2,0.8906277056277055,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,MYC
PIK3CA-1,0.4403645528202947,0.0005999400059994001,0.0028568571714257147,True,True,2.5441114716271382,A549,p<0.05,,perturbation_control,PIK3CA
PIK3CA-2,0.2859055346691689,0.004999500049995001,0.015150000151500002,True,True,1.8195873628187313,A549,p<0.05,,perturbation_control,PIK3CA
PRDX1-1,0.06316266529828858,0.22827717228277172,0.2605421276054213,False,False,0.5841220446970925,A549,p>=0.05,,perturbation_control,PRDX1
PRDX1-2,0.038133139187403124,0.535946405359464,0.535946405359464,False,False,0.27087863758409264,A549,p>=0.05,,perturbation_control,PRDX1
PTK2-1,0.7783441667265197,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,PTK2
PTK2-2,0.971031746031746,9.999000099990002e-05,0.0006249375062493751,True,True,3.2041634099327876,A549,p<0.05,,perturbation_control,PTK2
RAC1-1,0.07498735426530427,0.16668333166683333,0.20835416458354164,False,False,0.681197814440801,A549,p>=0.05,,perturbation_control,RAC1
RAC1-2,0.05025443840444551,0.33766623337666235,0.3592193972092153,False,False,0.44464022024114974,A549,p>=0.05,,perturbation_control,RAC1
RAF1-1,0.10750746531831189,0.0893910608939106,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,RAF1
RAF1-2,0.10861278355221922,0.08769123087691232,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,RAF1
RHOA-1,0.13476860002583244,0.056694330566943306,0.10902755878258327,False,False,0.9624637120187552,A549,p>=0.05,,perturbation_control,RHOA
RHOA-2,0.07569986700242144,0.1628837116288371,0.20618191345422418,False,False,0.6857494342587948,A549,p>=0.05,,perturbation_control,RHOA
SDHB-1,0.07626847626894158,0.16148385161483853,0.20618191345422418,False,False,0.6857494342587948,A549,p>=0.05,,perturbation_control,SDHB
SDHB-2,0.23870486847064162,0.0178982101789821,0.04837354102427595,True,True,1.3153921203639645,A549,p<0.05,,perturbation_control,SDHB
SLC2A1-1,0.2869121447392479,0.004999500049995001,0.015150000151500002,True,True,1.8195873628187313,A549,p<0.05,,perturbation_control,SLC2A1
SLC2A2-2,0.1534776091031911,0.04509549045095491,0.0939489384394894,True,False,1.0271081227744894,A549,p<0.05,,perturbation_control,SLC2A2
SMARCB1-1,0.064736276776649,0.21877812218778123,0.25439316533462936,False,False,0.5944945608590372,A549,p>=0.05,,perturbation_control,SMARCB1
SMARCB1-2,0.1683204803318508,0.04079592040795921,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,SMARCB1
STAT3-1,0.13833408626021768,0.05469453054694531,0.10724417754303,False,False,0.9696262770413683,A549,p>=0.05,,perturbation_control,STAT3
STAT3-2,0.10547952635936551,0.09119088091190881,0.13610579240583404,False,False,0.866123391649273,A549,p>=0.05,,perturbation_control,STAT3
SUZ12-1,0.33400250929411657,0.0024997500249975004,0.009258333425916667,True,True,2.0334671827638124,A549,p<0.05,,perturbation_control,SUZ12
SUZ12-2,0.3428430861315028,0.0023997600239976003,0.009229846246144617,True,True,2.0348055335360744,A549,p<0.05,,perturbation_control,SUZ12
TXN-1,0.10245946926650101,0.09529047095290472,0.1401330455189775,False,False,0.8534594393447725,A549,p>=0.05,,perturbation_control,TXN
TXN-2,0.10740501247007622,0.0893910608939106,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,TXN
XBP-1,0.19658188153882106,0.0365963403659634,0.08977363133251892,True,False,1.0468512073020357,A549,p<0.05,,perturbation_control,XBP
XBP-2,0.28918004166334577,0.0044995500449955,0.014514677564501614,True,True,1.8381926073357917,A549,p<0.05,,perturbation_control,XBP
YAP1-1,0.11180370644497177,0.08449155084491551,0.13544100135441,False,False,0.8682498440228137,A549,p>=0.05,,perturbation_control,YAP1
YAP1-2,0.0938598606392504,0.11338866113388661,0.15970233962519242,False,False,0.7966887214390501,A549,p>=0.05,,perturbation_control,YAP1
AKT1-1,0.07527357740787206,0.16478352164783522,0.18515002432341035,False,False,0.7324762265606785,ES2,p>=0.05,,perturbation_control,AKT1
AKT1-2,0.04053870263795224,0.48405159484051596,0.48894100488941006,False,False,0.3107435392335229,ES2,p>=0.05,,perturbation_control,AKT1
ARID1B-1,0.21949513353430253,0.0337966203379662,0.06241311352735694,True,False,1.204724151756205,ES2,p<0.05,,perturbation_control,ARID1B
ARID1B-2,0.037494324844087996,0.5518448155184481,0.5518448155184481,False,False,0.25818303321159913,ES2,p>=0.05,,perturbation_control,ARID1B
ATF4-1,0.33791620671077394,0.0023997600239976003,0.006153230830763077,True,True,2.2108967925917558,ES2,p<0.05,,perturbation_control,ATF4
ATF4-2,0.34006054502886346,0.0023997600239976003,0.006153230830763077,True,True,2.2108967925917558,ES2,p<0.05,,perturbation_control,ATF4
ATP50-1,0.11610008960516459,0.0806919308069193,0.10345119334220423,False,False,0.9852644952452727,ES2,p>=0.05,,perturbation_control,ATP50
ATP50-2,0.14461938434982027,0.05019498050194981,0.07332600073326001,False,False,1.1347420011743188,ES2,p>=0.05,,perturbation_control,ATP50
AURKB-2,0.26048810754292767,0.009999000099990002,0.020831250208312505,True,True,1.6812846646524497,ES2,p<0.05,,perturbation_control,AURKB
BCL2-1,0.09219738644175181,0.11658834116588342,0.13556783856498072,False,False,0.867843328097435,ES2,p>=0.05,,perturbation_control,BCL2
BCL2-2,0.1104064021530178,0.0852914708529147,0.10796388715558823,False,False,0.9667214873997811,ES2,p>=0.05,,perturbation_control,BCL2
BCL2L2-1,0.09349298691699039,0.11398860113988601,0.13556783856498072,False,False,0.867843328097435,ES2,p>=0.05,,perturbation_control,BCL2L2
BCL2L2-2,0.19103129065187266,0.037196280371962806,0.06241311352735694,True,False,1.204724151756205,ES2,p<0.05,,perturbation_control,BCL2L2
BCL2L2-4,0.04107772796215006,0.4727527247275273,0.482400739517885,False,False,0.3165920350961585,ES2,p>=0.05,,perturbation_control,BCL2L2
BRAF-2,0.9227777777777778,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,BRAF
BRAF1-1,0.4620556023395485,0.00039996000399960006,0.0012901935612890324,True,True,2.889345129783173,ES2,p<0.05,,perturbation_control,BRAF1
BRCA1-1,0.3029874225830108,0.0036996300369963003,0.008603790783712326,True,True,2.0653101587894542,ES2,p<0.05,,perturbation_control,BRCA1
BRCA1-2,0.07133613201114888,0.18248175182481752,0.202757502027575,False,False,0.6930230679236941,ES2,p>=0.05,,perturbation_control,BRCA1
BRD4-1,0.4539049959272801,0.00039996000399960006,0.0012901935612890324,True,True,2.889345129783173,ES2,p<0.05,,perturbation_control,BRD4
BRD4-2,0.6461135890143878,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,BRD4
CCND1-1,1.0,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,CCND1
CCND1-2,1.0,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,CCND1
CCNE1-1,0.17006443434048213,0.0403959604039596,0.06311868813118687,True,False,1.199842036150145,ES2,p<0.05,,perturbation_control,CCNE1
CCNE1-2,0.1817723861549829,0.038696130386961305,0.06241311352735694,True,False,1.204724151756205,ES2,p<0.05,,perturbation_control,CCNE1
CDK2-1,0.2841431967612887,0.0052994700529947,0.011776600117766,True,True,1.9289800714514174,ES2,p<0.05,,perturbation_control,CDK2
CDK2-2,0.8429808590102708,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,CDK2
CDK4-1,1.0,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,CDK4
CDK4-2,0.7012664077368679,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,CDK4
CDK4-3,0.7268938612743333,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,CDK4
CHEK2-1,0.12499617473646692,0.06999300069993,0.09585708095857082,False,False,1.01837580028568,ES2,p>=0.05,,perturbation_control,CHEK2
CHEK2-2,0.04729368409053136,0.37696230376962303,0.3926690664266907,False,False,0.4059733101106382,ES2,p>=0.05,,perturbation_control,CHEK2
COX5B-1,0.10236993741661071,0.0953904609539046,0.11577155537458303,False,False,0.9363981319843911,ES2,p>=0.05,,perturbation_control,COX5B
COX5B-2,0.09224709820479204,0.11648835116488351,0.13556783856498072,False,False,0.867843328097435,ES2,p>=0.05,,perturbation_control,COX5B
CSNK1A1-1,0.5060015447242324,0.00029997000299970003,0.0010713214392846428,True,True,2.9700802038994194,ES2,p<0.05,,perturbation_control,CSNK1A1
CSNK1A1-2,0.15703772061845314,0.0438956104389561,0.066508500665085,True,False,1.17712284257661,ES2,p<0.05,,perturbation_control,CSNK1A1
CTNNB1-1,0.6068614718614719,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,CTNNB1
CTNNB1-2,0.26051875672297625,0.009999000099990002,0.020831250208312505,True,True,1.6812846646524497,ES2,p<0.05,,perturbation_control,CTNNB1
DOT1L-1,0.2417522332095787,0.016798320167983202,0.033596640335966405,True,True,1.4737041498870185,ES2,p<0.05,,perturbation_control,DOT1L
DOT1L-2,0.16108476922831802,0.0423957604239576,0.06522424680608861,True,False,1.1855909273269858,ES2,p<0.05,,perturbation_control,DOT1L
EGFR-1,0.2680342052711875,0.0081991800819918,0.017824304526069132,True,True,1.7489874065747202,ES2,p<0.05,,perturbation_control,EGFR
EGFR-2,0.14379779525346278,0.050594940505949405,0.07332600073326001,False,False,1.1347420011743188,ES2,p>=0.05,,perturbation_control,EGFR
EGLN1-8,0.6843292129632322,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,EGLN1
EGLN1-9,1.0,9.999000099990002e-05,0.0003703333370366667,True,True,3.43140719143585,ES2,p<0.05,,perturbation_control,EGLN1
ERBB2-1,0.23119919562867533,0.023297670232976703,0.04480321198649366,True,True,1.348690849885643,ES2,p<0.05,,perturbation_control,ERBB2
ERBB2-2,0.36672964836548744,0.0016998300169983002,0.004721750047217501,True,True,2.3258970066658757,ES2,p<0.05,,perturbation_control,ERBB2
ERBB3-1,0.12400417723689737,0.0714928507149285,0.09585708095857082,False,False,1.01837580028568,ES2,p>=0.05,,perturbation_control,ERBB3
ERBB3-2,0.06620100251730297,0.20977902209779023,0.22802067619325023,False,False,0.6420257707648789,ES2,p>=0.05,,perturbation_control,ERBB3
EZH2-1,0.3873052211555619,0.0012998700129987,0.0038231470970549997,True,True,2.417578992012281,ES2,p<0.05,,perturbation_control,EZH2
EZH2-2,0.34058296352024037,0.0023997600239976003,0.006153230830763077,True,True,2.2108967925917558,ES2,p<0.05,,perturbation_control,EZH2
GLS-1,0.18341308574001855,0.0382961703829617,0.06241311352735694,True,False,1.204724151756205,ES2,p<0.05,,perturbation_control,GLS
